Run,Step,Catalyst_ID,Position_X,Position_Y,Manhattan_Distance
1,6700,0,8,3,5
1,6710,0,8,3,5
1,6720,0,8,3,5
1,6730,0,8,3,5
1,6740,0,8,3,5
1,6750,0,8,3,5
1,6760,0,8,3,5
1,6770,0,8,3,5
1,6780,0,8,3,5
1,6790,0,8,3,5
1,6800,0,8,3,5
1,6810,0,7,3,6
1,6820,0,7,3,6
1,6830,0,7,3,6
1,6840,0,7,3,6
1,6850,0,7,3,6
1,6860,0,7,3,6
1,6870,0,7,3,6
1,6880,0,7,3,6
1,6890,0,7,3,6
1,6900,0,7,3,6
1,6910,0,7,3,6
1,6920,0,7,3,6
1,6930,0,7,3,6
1,6940,0,7,3,6
1,6950,0,7,3,6
1,6960,0,7,3,6
1,6970,0,7,3,6
1,6980,0,7,3,6
1,6990,0,7,3,6
1,7000,0,7,3,6
1,7010,0,7,3,6
1,7020,0,7,3,6
1,7030,0,7,3,6
1,7040,0,7,3,6
1,7050,0,7,3,6
1,7060,0,7,3,6
1,7070,0,7,3,6
1,7080,0,7,3,6
1,7090,0,7,3,6
1,7100,0,7,3,6
1,7110,0,7,3,6
1,7120,0,7,3,6
1,7130,0,7,3,6
1,7140,0,7,3,6
1,7150,0,7,3,6
1,7160,0,7,3,6
1,7170,0,7,3,6
1,7180,0,7,3,6
1,7190,0,7,3,6
1,7200,0,7,3,6
1,7210,0,7,3,6
1,7220,0,7,3,6
1,7230,0,7,3,6
1,7240,0,7,3,6
1,7250,0,7,3,6
1,7260,0,7,3,6
1,7270,0,7,3,6
1,7280,0,7,3,6
1,7290,0,7,3,6
1,7300,0,7,3,6
1,7310,0,7,2,7
1,7320,0,7,2,7
1,7330,0,7,2,7
1,7340,0,7,2,7
1,7350,0,7,2,7
1,7360,0,7,2,7
1,7370,0,7,2,7
1,7380,0,7,2,7
1,7390,0,7,2,7
1,7400,0,7,2,7
1,7410,0,7,2,7
1,7420,0,7,2,7
1,7430,0,7,2,7
1,7440,0,7,2,7
1,7450,0,7,2,7
1,7460,0,7,2,7
1,7470,0,7,2,7
1,7480,0,7,2,7
1,7490,0,7,2,7
1,7500,0,7,2,7
1,7510,0,7,2,7
1,7520,0,7,2,7
1,7530,0,7,2,7
1,7540,0,7,2,7
1,7550,0,7,2,7
1,7560,0,7,2,7
1,7570,0,7,2,7
1,7580,0,7,2,7
1,7590,0,7,2,7
1,7600,0,7,2,7
1,7610,0,7,2,7
1,7620,0,7,2,7
1,7630,0,7,2,7
1,7640,0,7,2,7
1,7650,0,7,2,7
1,7660,0,7,2,7
1,7670,0,7,2,7
1,7680,0,7,2,7
1,7690,0,7,2,7
1,7700,0,7,2,7
1,7710,0,7,2,7
1,7720,0,7,2,7
1,7730,0,7,2,7
1,7740,0,7,2,7
1,7750,0,7,2,7
1,7760,0,7,2,7
1,7770,0,7,2,7
1,7780,0,7,2,7
1,7790,0,7,2,7
1,7800,0,7,2,7
1,7810,0,7,2,7
1,7820,0,7,2,7
1,7830,0,7,2,7
1,7840,0,7,2,7
1,7850,0,7,2,7
1,7860,0,7,2,7
1,7870,0,7,2,7
1,7880,0,7,2,7
1,7890,0,7,2,7
1,7900,0,7,2,7
1,7910,0,7,2,7
1,7920,0,7,2,7
1,7930,0,7,2,7
1,7940,0,7,2,7
1,7950,0,7,2,7
1,7960,0,7,2,7
1,7970,0,7,2,7
1,7980,0,7,3,6
1,7990,0,7,3,6
1,8000,0,7,3,6
1,8010,0,7,3,6
1,8020,0,7,3,6
1,8030,0,7,3,6
1,8040,0,7,3,6
1,8050,0,7,3,6
1,8060,0,7,2,7
1,8070,0,7,2,7
1,8080,0,7,2,7
1,8090,0,7,2,7
1,8100,0,7,2,7
1,8110,0,7,2,7
1,8120,0,7,2,7
1,8130,0,7,2,7
1,8140,0,7,2,7
1,8150,0,7,2,7
1,8160,0,7,2,7
1,8170,0,7,2,7
1,8180,0,7,2,7
1,8190,0,7,2,7
1,8200,0,7,2,7
1,8210,0,7,2,7
1,8220,0,7,2,7
